company,count
40.0,927
223.0,784
67.0,267
45.0,250
153.0,215
174.0,149
219.0,141
281.0,138
154.0,133
405.0,119
233.0,114
51.0,99
94.0,87
47.0,72
135.0,66
169.0,65
242.0,62
331.0,61
348.0,59
498.0,58
110.0,52
38.0,51
20.0,50
280.0,48
342.0,48
91.0,48
62.0,47
197.0,47
68.0,46
270.0,43
218.0,43
202.0,38
195.0,38
9.0,37
148.0,37
113.0,36
307.0,36
204.0,34
269.0,33
308.0,33
238.0,33
86.0,32
72.0,30
385.0,30
365.0,29
43.0,29
343.0,29
178.0,27
221.0,27
144.0,27
46.0,26
418.0,25
337.0,25
179.0,24
227.0,24
424.0,24
366.0,24
507.0,23
477.0,23
81.0,23
88.0,22
407.0,22
78.0,22
216.0,21
286.0,21
209.0,19
523.0,19
150.0,19
292.0,18
251.0,18
122.0,18
396.0,18
163.0,17
143.0,17
31.0,17
290.0,17
103.0,16
183.0,16
193.0,16
397.0,15
408.0,15
525.0,15
127.0,15
367.0,14
120.0,14
12.0,14
263.0,14
82.0,14
268.0,14
346.0,14
485.0,14
274.0,14
203.0,13
390.0,13
112.0,13
92.0,13
355.0,13
428.0,13
338.0,12
329.0,12
409.0,12
186.0,12
291.0,12
380.0,12
130.0,12
360.0,12
435.0,12
99.0,12
465.0,12
504.0,11
333.0,11
108.0,11
371.0,11
399.0,11
450.0,10
254.0,10
323.0,10
37.0,10
356.0,10
207.0,9
317.0,9
324.0,9
14.0,9
379.0,9
107.0,9
384.0,9
421.0,9
83.0,9
34.0,8
279.0,8
215.0,8
53.0,8
105.0,8
39.0,8
118.0,7
521.0,7
59.0,7
388.0,7
167.0,7
358.0,7
225.0,7
437.0,7
297.0,7
451.0,6
383.0,6
515.0,6
116.0,6
511.0,6
159.0,6
394.0,6
364.0,6
255.0,6
439.0,6
22.0,6
377.0,5
443.0,5
341.0,5
302.0,5
293.0,5
357.0,5
459.0,5
470.0,5
444.0,5
369.0,5
277.0,5
180.0,5
149.0,5
530.0,5
490.0,5
287.0,5
42.0,5
410.0,5
28.0,5
48.0,5
49.0,5
382.0,5
16.0,5
353.0,4
494.0,4
392.0,4
137.0,4
426.0,4
448.0,4
330.0,4
185.0,4
445.0,4
452.0,4
220.0,4
115.0,4
282.0,4
395.0,4
192.0,4
466.0,3
457.0,3
512.0,3
224.0,3
272.0,3
146.0,3
275.0,3
84.0,3
240.0,3
378.0,3
372.0,3
312.0,3
460.0,3
165.0,3
334.0,3
200.0,3
260.0,3
245.0,3
319.0,3
93.0,3
139.0,3
73.0,3
230.0,3
350.0,3
246.0,3
362.0,2
423.0,2
232.0,2
514.0,2
456.0,2
447.0,2
52.0,2
210.0,2
158.0,2
513.0,2
492.0,2
259.0,2
217.0,2
325.0,2
61.0,2
528.0,2
543.0,2
482.0,2
250.0,2
271.0,2
411.0,2
534.0,2
539.0,2
85.0,2
316.0,2
436.0,2
321.0,2
518.0,2
278.0,2
351.0,2
361.0,2
486.0,2
403.0,2
289.0,2
349.0,2
29.0,2
491.0,2
458.0,2
168.0,2
433.0,2
304.0,2
243.0,2
332.0,2
400.0,2
370.0,2
391.0,2
264.0,2
429.0,2
483.0,2
311.0,2
71.0,2
222.0,2
106.0,2
478.0,2
484.0,2
352.0,1
313.0,1
301.0,1
284.0,1
446.0,1
417.0,1
479.0,1
305.0,1
320.0,1
288.0,1
314.0,1
420.0,1
412.0,1
318.0,1
398.0,1
6.0,1
422.0,1
425.0,1
442.0,1
415.0,1
454.0,1
212.0,1
10.0,1
419.0,1
401.0,1
109.0,1
104.0,1
413.0,1
402.0,1
376.0,1
64.0,1
77.0,1
496.0,1
516.0,1
499.0,1
32.0,1
461.0,1
184.0,1
386.0,1
487.0,1
455.0,1
541.0,1
126.0,1
520.0,1
347.0,1
80.0,1
54.0,1
506.0,1
253.0,1
8.0,1
309.0,1
65.0,1
102.0,1
416.0,1
229.0,1
489.0,1
76.0,1
96.0,1
531.0,1
501.0,1
142.0,1
11.0,1
101.0,1
100.0,1
497.0,1
481.0,1
237.0,1
234.0,1
140.0,1
373.0,1
160.0,1
213.0,1
35.0,1
258.0,1
257.0,1
18.0,1
273.0,1
368.0,1
393.0,1
132.0,1
