adults,children,stays_in_weekend_nights,stays_in_week_nights,meal,required_car_parking_spaces,reserved_room_type,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,adr,total_of_special_requests,reservation_status,faixa_preco
1,0.0,0,1,BB,0,A,7,2015,July,1,Direct,0,0,0,75.0,0,Check-Out,Padrão
1,0.0,0,1,BB,0,A,13,2015,July,1,Corporate,0,0,0,75.0,0,Check-Out,Padrão
2,0.0,0,2,BB,0,A,14,2015,July,1,Online TA,0,0,0,98.0,1,Check-Out,Padrão
2,0.0,0,2,BB,0,C,0,2015,July,1,Direct,0,0,0,107.0,0,Check-Out,Premium
2,0.0,0,2,FB,0,C,9,2015,July,1,Direct,0,0,0,103.0,1,Check-Out,Premium
2,0.0,0,3,BB,0,A,85,2015,July,1,Online TA,0,0,0,82.0,1,Canceled,Padrão
2,0.0,0,3,HB,0,D,75,2015,July,1,Offline TA/TO,0,0,0,105.5,0,Canceled,Premium
2,0.0,0,4,BB,0,E,23,2015,July,1,Online TA,0,0,0,123.0,0,Canceled,Premium
2,0.0,0,4,HB,0,D,35,2015,July,1,Online TA,0,0,0,145.0,0,Check-Out,Luxo
2,0.0,0,4,BB,0,D,68,2015,July,1,Online TA,0,0,0,97.0,3,Check-Out,Padrão
2,1.0,0,4,HB,0,G,18,2015,July,1,Online TA,0,0,0,154.77,1,Check-Out,Luxo
2,0.0,0,4,BB,0,E,37,2015,July,1,Online TA,0,0,0,94.71,0,Check-Out,Padrão
2,0.0,0,4,BB,0,D,68,2015,July,1,Online TA,0,0,0,97.0,3,Check-Out,Padrão
2,0.0,0,4,BB,0,E,37,2015,July,1,Offline TA/TO,0,0,0,97.5,0,Check-Out,Padrão
2,0.0,0,1,BB,0,A,12,2015,July,1,Online TA,0,0,0,88.2,0,Check-Out,Padrão
2,0.0,0,1,BB,0,A,0,2015,July,1,Corporate,0,0,0,107.42,0,Check-Out,Premium
2,0.0,0,4,BB,0,G,7,2015,July,1,Direct,0,0,0,153.0,1,Check-Out,Luxo
1,0.0,1,4,BB,0,F,37,2015,July,1,Online TA,0,0,0,97.29,1,Check-Out,Padrão
2,0.0,2,4,BB,0,A,72,2015,July,1,Direct,0,0,0,84.67,1,Check-Out,Padrão
2,0.0,2,4,BB,0,D,72,2015,July,1,Direct,0,0,0,99.67,1,Check-Out,Premium
2,0.0,2,5,HB,0,D,127,2015,July,1,Offline TA/TO,0,0,0,94.95,1,Check-Out,Padrão
2,0.0,2,5,BB,1,D,78,2015,July,1,Offline TA/TO,0,0,0,63.6,0,Check-Out,Econômica
2,0.0,2,5,BB,0,D,48,2015,July,1,Offline TA/TO,0,0,0,79.5,0,Check-Out,Padrão
2,0.0,2,5,BB,0,E,60,2015,July,1,Online TA,0,0,0,107.0,2,Canceled,Premium
2,0.0,2,5,BB,0,A,77,2015,July,1,Online TA,0,0,0,94.0,0,Check-Out,Padrão
2,0.0,2,5,BB,1,D,99,2015,July,1,Online TA,0,0,0,87.3,1,Check-Out,Padrão
2,0.0,2,4,BB,0,A,69,2015,July,2,Offline TA/TO,0,0,0,65.5,0,Check-Out,Econômica
3,0.0,1,3,BB,0,D,45,2015,July,2,Online TA,0,0,0,108.8,1,Canceled,Premium
3,0.0,1,3,BB,0,D,40,2015,July,2,Online TA,0,0,0,108.8,1,Canceled,Premium
2,0.0,1,3,BB,0,A,15,2015,July,2,Online TA,0,0,0,98.0,0,Check-Out,Padrão
3,0.0,1,3,BB,0,D,36,2015,July,2,Online TA,0,0,0,108.8,1,Check-Out,Premium
3,0.0,1,3,BB,0,D,43,2015,July,2,Online TA,0,0,0,108.8,0,Canceled,Premium
2,0.0,2,3,HB,0,E,70,2015,July,2,Direct,0,0,0,137.0,1,Check-Out,Luxo
2,0.0,2,3,BB,0,G,45,2015,July,2,Online TA,0,0,0,117.81,0,Canceled,Premium
2,0.0,2,3,BB,0,D,45,2015,July,2,Offline TA/TO,0,0,0,79.5,0,Check-Out,Padrão
2,0.0,2,3,BB,0,F,16,2015,July,2,Direct,0,0,0,123.0,0,Check-Out,Premium
