,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
2224,Resort Hotel,0,1,2015,October,41,6,0,3,0,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,1,No Deposit,,174.0,0,Transient-Party,0.0,0,0,Check-Out,2015-10-06
2409,Resort Hotel,0,0,2015,October,42,12,0,0,0,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,0,No Deposit,,174.0,0,Transient,0.0,0,0,Check-Out,2015-10-12
3181,Resort Hotel,0,36,2015,November,47,20,1,2,0,0.0,0,SC,ESP,Groups,TA/TO,0,0,0,A,C,0,No Deposit,38.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-11-23
3684,Resort Hotel,0,165,2015,December,53,30,1,4,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,308.0,,122,Transient-Party,0.0,0,0,Check-Out,2016-01-04
3708,Resort Hotel,0,165,2015,December,53,30,2,4,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,C,1,No Deposit,308.0,,122,Transient-Party,0.0,0,0,Check-Out,2016-01-05
4127,Resort Hotel,1,0,2016,February,8,15,0,0,0,0.0,0,SC,,Offline TA/TO,TA/TO,0,0,0,P,P,0,No Deposit,,383.0,0,Transient,0.0,0,0,Canceled,2016-02-15
9376,Resort Hotel,1,0,2016,November,48,21,0,0,0,0.0,0,SC,,Offline TA/TO,TA/TO,0,0,0,P,P,0,No Deposit,,386.0,0,Group,0.0,0,0,Canceled,2016-11-21
31765,Resort Hotel,0,31,2016,December,53,27,2,8,0,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,3,No Deposit,,,0,Transient,28.0,1,0,Check-Out,2017-01-06
32029,Resort Hotel,0,4,2017,January,2,14,0,1,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,G,0,No Deposit,168.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-01-15
32827,Resort Hotel,0,46,2017,January,4,25,3,9,0,0.0,0,SC,FRA,Direct,Direct,0,0,0,A,I,8,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-02-06
34849,Resort Hotel,0,15,2017,March,13,30,2,6,0,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,523.0,0,Transient-Party,0.0,0,0,Check-Out,2017-04-07
37459,Resort Hotel,0,1,2017,June,25,18,2,5,0,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,I,6,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-06-25
40392,City Hotel,0,132,2015,July,30,23,2,5,0,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,4,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-07-30
40922,City Hotel,0,0,2015,August,33,9,2,0,0,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,B,0,No Deposit,9.0,,0,Contract,0.0,0,0,Check-Out,2015-08-11
41020,City Hotel,0,0,2015,August,33,10,9,20,0,0.0,0,SC,PRT,Online TA,Direct,0,0,0,E,K,20,No Deposit,,47.0,0,Transient,0.0,0,0,Check-Out,2015-09-08
41056,City Hotel,0,0,2015,August,33,11,0,4,0,0.0,0,BB,PRT,Online TA,Direct,0,0,0,A,K,4,No Deposit,,49.0,0,Transient-Party,0.0,0,1,Check-Out,2015-08-15
42452,City Hotel,1,1,2015,September,37,6,2,0,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Canceled,2015-09-05
42591,City Hotel,0,0,2015,September,37,7,1,4,0,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,11.0,,0,Transient,0.0,0,1,Check-Out,2015-09-12
42871,City Hotel,0,0,2015,September,37,11,0,2,0,0.0,0,BB,FRA,Groups,Corporate,0,0,0,A,K,1,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-09-13
42934,City Hotel,0,4,2015,September,37,11,0,1,0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,K,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-09-12
47166,City Hotel,1,1,2016,February,7,11,0,3,0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,0.0,0,1,No-Show,2016-02-11
47180,City Hotel,0,0,2016,February,7,12,0,1,0,0.0,0,SC,PRT,Complementary,Corporate,0,0,0,D,A,2,No Deposit,,45.0,0,Transient,0.0,0,2,Check-Out,2016-02-13
47444,City Hotel,0,48,2016,February,9,21,2,4,0,0.0,0,SC,CHE,Direct,Direct,0,0,0,B,K,2,No Deposit,14.0,,0,Transient-Party,56.27,0,0,Check-Out,2016-02-27
49264,City Hotel,1,173,2016,April,15,8,2,3,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,0.0,0,0,Canceled,2016-03-29
50701,City Hotel,0,122,2016,May,19,5,2,4,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,E,K,3,No Deposit,11.0,,0,Transient,50.87,0,0,Check-Out,2016-05-11
50702,City Hotel,0,122,2016,May,19,5,2,4,0,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,E,K,3,No Deposit,11.0,,0,Transient,50.87,0,0,Check-Out,2016-05-11
54025,City Hotel,0,198,2016,July,28,6,0,4,0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-07-10
54037,City Hotel,1,244,2016,July,28,6,2,4,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,19.0,,0,Transient,0.0,0,0,Canceled,2016-02-23
55809,City Hotel,0,256,2016,August,35,21,3,5,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,11.0,,0,Transient,57.3,0,0,Check-Out,2016-08-29
60651,City Hotel,1,0,2016,November,47,17,4,11,0,0.0,0,SC,,Corporate,Direct,0,0,0,P,P,0,No Deposit,,279.0,0,Transient,0.0,0,0,Canceled,2016-11-17
61244,City Hotel,1,0,2016,December,50,6,0,0,0,0.0,0,SC,,Complementary,Corporate,0,0,0,P,P,0,No Deposit,,279.0,0,Transient,0.0,0,0,Canceled,2016-12-06
62967,City Hotel,1,1,2017,January,4,25,0,2,0,0.0,0,SC,PRT,Complementary,Direct,0,0,0,E,E,1,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-01-25
63796,City Hotel,1,4,2017,February,8,21,0,3,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,0.0,0,0,Canceled,2017-02-17
64782,City Hotel,1,0,2017,March,11,16,0,3,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-03-16
65907,City Hotel,1,0,2017,April,15,10,0,0,0,0.0,0,SC,,Complementary,Corporate,0,0,0,P,P,0,No Deposit,,279.0,0,Transient,0.0,0,0,Canceled,2017-04-10
69668,City Hotel,1,434,2017,June,22,3,2,1,0,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,229.0,,0,Transient-Party,0.0,0,1,Canceled,2017-06-03
72967,City Hotel,1,0,2017,August,32,11,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,P,P,0,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-08-11
76620,City Hotel,0,110,2015,July,30,25,2,2,0,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,17.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-07-29
76985,City Hotel,0,0,2015,August,33,11,2,10,0,0.0,0,SC,ITA,Corporate,Corporate,0,0,0,A,K,11,No Deposit,,38.0,0,Group,0.0,0,0,Check-Out,2015-08-23
77001,City Hotel,0,0,2015,August,35,26,0,1,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,B,0,No Deposit,,,0,Contract,0.0,0,2,Check-Out,2015-08-27
77003,City Hotel,0,0,2015,August,35,27,0,1,0,0.0,0,BB,PRT,Online TA,Direct,1,0,0,F,B,0,No Deposit,,,0,Contract,0.0,0,2,Check-Out,2015-08-28
77447,City Hotel,0,0,2015,October,42,15,0,0,0,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,E,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-10-15
